[2026-03-22 23:17:37,306][__main__][INFO] - ============================================================
[2026-03-22 23:17:37,306][__main__][INFO] - Starting experiment: optimizer = muon
[2026-03-22 23:17:37,306][__main__][INFO] - ============================================================
[2026-03-22 23:17:37,306][__main__][INFO] - Using torch dtype: bfloat16
[2026-03-22 23:17:37,306][model][INFO] - Loading tokenizer and model: Qwen/Qwen2.5-0.5B
[2026-03-22 23:17:40,298][model][INFO] - Apply LoRA with params: {'r': 16, 'lora_alpha': 32, 'lora_dropout': 0.05, 'target_modules': ['q_proj', 'k_proj', 'v_proj', 'o_proj', 'gate_proj', 'up_proj', 'down_proj'], 'bias': 'none', 'task_type': 'CAUSAL_LM'}
[2026-03-22 23:17:40,579][__main__][INFO] - Model+LoRA loaded. Initial memory: 988.00 MiB
[2026-03-22 23:17:40,579][dataset][INFO] - Loading train dataset: Elriggs/openwebtext-100k
[2026-03-22 23:17:42,749][dataset][INFO] - Loaded 1000 / 100000 samples
[2026-03-22 23:17:42,749][__main__][INFO] - Tokenizing dataset...
[2026-03-22 23:17:56,154][__main__][INFO] - Tokenized: 1000 samples
[2026-03-22 23:17:56,154][optimizers.optimizer][INFO] - Create Muon optimizer
[2026-03-22 23:17:59,655][__main__][INFO] - Memory stats reset. Starting training...
[2026-03-22 23:17:59,655][optimizers.optimizer][INFO] - Creating SFTTrainer (TRL) with optimizer: muon
[2026-03-22 23:17:59,702][__main__][INFO] - Starting training...
[2026-03-22 23:19:45,247][utilities.loggers][INFO] - Step 60: loss=3.0067, lr=4.9e-05, mem=3862.0MB, t=127.94s
[2026-03-22 23:19:46,939][utilities.loggers][INFO] - Step 61: loss=2.9656, lr=4.9e-05, mem=3862.0MB, t=129.63s
[2026-03-22 23:19:48,724][utilities.loggers][INFO] - Step 62: loss=3.0286, lr=4.9e-05, mem=3862.0MB, t=131.42s
[2026-03-22 23:19:49,739][utilities.loggers][INFO] - Step 63: loss=3.0017, lr=4.9e-05, mem=3862.0MB, t=132.43s
[2026-03-22 23:19:52,571][utilities.loggers][INFO] - Step 64: loss=2.963, lr=4.9e-05, mem=3862.0MB, t=135.27s
[2026-03-22 23:19:54,306][utilities.loggers][INFO] - Step 65: loss=3.1009, lr=4.8e-05, mem=3862.0MB, t=137.0s
[2026-03-22 23:19:56,056][utilities.loggers][INFO] - Step 66: loss=3.0067, lr=4.8e-05, mem=3862.0MB, t=138.75s
[2026-03-22 23:19:57,853][utilities.loggers][INFO] - Step 67: loss=2.7904, lr=4.8e-05, mem=3862.0MB, t=140.55s
[2026-03-22 23:19:59,556][utilities.loggers][INFO] - Step 68: loss=3.1335, lr=4.8e-05, mem=3862.0MB, t=142.25s
[2026-03-22 23:20:01,275][utilities.loggers][INFO] - Step 69: loss=2.8771, lr=4.8e-05, mem=3862.0MB, t=143.97s
[2026-03-22 23:20:03,025][utilities.loggers][INFO] - Step 70: loss=2.9444, lr=4.8e-05, mem=3862.0MB, t=145.72s
[2026-03-22 23:20:04,759][utilities.loggers][INFO] - Step 71: loss=2.9723, lr=4.8e-05, mem=3862.0MB, t=147.45s
[2026-03-22 23:20:06,494][utilities.loggers][INFO] - Step 72: loss=2.8434, lr=4.8e-05, mem=3862.0MB, t=149.19s
[2026-03-22 23:20:08,275][utilities.loggers][INFO] - Step 73: loss=2.865, lr=4.8e-05, mem=3862.0MB, t=150.97s
[2026-03-22 23:20:09,963][utilities.loggers][INFO] - Step 74: loss=2.8527, lr=4.7e-05, mem=3862.0MB, t=152.66s
[2026-03-22 23:20:11,853][utilities.loggers][INFO] - Step 75: loss=2.8879, lr=4.7e-05, mem=3862.0MB, t=154.55s
[2026-03-22 23:20:13,588][utilities.loggers][INFO] - Step 76: loss=2.9282, lr=4.7e-05, mem=3862.0MB, t=156.28s
[2026-03-22 23:20:15,417][utilities.loggers][INFO] - Step 77: loss=2.878, lr=4.7e-05, mem=3862.0MB, t=158.11s
[2026-03-22 23:20:17,167][utilities.loggers][INFO] - Step 78: loss=2.9511, lr=4.7e-05, mem=3862.0MB, t=159.86s
[2026-03-22 23:20:18,886][utilities.loggers][INFO] - Step 79: loss=3.0938, lr=4.7e-05, mem=3862.0MB, t=161.58s
[2026-03-22 23:20:20,636][utilities.loggers][INFO] - Step 80: loss=2.7527, lr=4.7e-05, mem=3862.0MB, t=163.33s
[2026-03-22 23:20:22,433][utilities.loggers][INFO] - Step 81: loss=3.0443, lr=4.7e-05, mem=3862.0MB, t=165.13s
[2026-03-22 23:20:24,308][utilities.loggers][INFO] - Step 82: loss=2.9335, lr=4.6e-05, mem=3862.0MB, t=167.0s
[2026-03-22 23:20:26,011][utilities.loggers][INFO] - Step 83: loss=2.9447, lr=4.6e-05, mem=3862.0MB, t=168.71s
[2026-03-22 23:20:27,714][utilities.loggers][INFO] - Step 84: loss=3.0215, lr=4.6e-05, mem=3862.0MB, t=170.41s
[2026-03-22 23:20:29,527][utilities.loggers][INFO] - Step 85: loss=3.0697, lr=4.6e-05, mem=3862.0MB, t=172.22s
[2026-03-22 23:20:31,339][utilities.loggers][INFO] - Step 86: loss=2.8362, lr=4.6e-05, mem=3862.0MB, t=174.03s
[2026-03-22 23:20:33,100][utilities.loggers][INFO] - Step 87: loss=3.0082, lr=4.6e-05, mem=3862.0MB, t=175.79s
[2026-03-22 23:20:34,803][utilities.loggers][INFO] - Step 88: loss=2.885, lr=4.5e-05, mem=3862.0MB, t=177.5s
[2026-03-22 23:20:36,600][utilities.loggers][INFO] - Step 89: loss=2.9698, lr=4.5e-05, mem=3862.0MB, t=179.29s
[2026-03-22 23:20:38,335][utilities.loggers][INFO] - Step 90: loss=2.8975, lr=4.5e-05, mem=3862.0MB, t=181.03s
[2026-03-22 23:20:40,085][utilities.loggers][INFO] - Step 91: loss=2.9212, lr=4.5e-05, mem=3862.0MB, t=182.78s
[2026-03-22 23:20:41,882][utilities.loggers][INFO] - Step 92: loss=2.9416, lr=4.5e-05, mem=3862.0MB, t=184.58s
[2026-03-22 23:20:43,616][utilities.loggers][INFO] - Step 93: loss=2.8949, lr=4.5e-05, mem=3862.0MB, t=186.31s
[2026-03-22 23:20:45,273][utilities.loggers][INFO] - Step 94: loss=3.0411, lr=4.4e-05, mem=3862.0MB, t=187.97s
[2026-03-22 23:20:47,007][utilities.loggers][INFO] - Step 95: loss=2.9145, lr=4.4e-05, mem=3862.0MB, t=189.7s
[2026-03-22 23:20:48,711][utilities.loggers][INFO] - Step 96: loss=2.9226, lr=4.4e-05, mem=3862.0MB, t=191.41s
[2026-03-22 23:20:50,555][utilities.loggers][INFO] - Step 97: loss=2.9313, lr=4.4e-05, mem=3862.0MB, t=193.25s
[2026-03-22 23:20:52,258][utilities.loggers][INFO] - Step 98: loss=2.7792, lr=4.4e-05, mem=3862.0MB, t=194.95s
[2026-03-22 23:20:54,008][utilities.loggers][INFO] - Step 99: loss=2.9812, lr=4.4e-05, mem=3862.0MB, t=196.7s
[2026-03-22 23:20:55,758][utilities.loggers][INFO] - Step 100: loss=2.7978, lr=4.3e-05, mem=3862.0MB, t=198.45s
