[2026-03-22 23:08:52,974][__main__][INFO] - ============================================================
[2026-03-22 23:08:52,974][__main__][INFO] - Starting experiment: optimizer = adamw
[2026-03-22 23:08:52,974][__main__][INFO] - ============================================================
[2026-03-22 23:08:52,974][__main__][INFO] - Using torch dtype: bfloat16
[2026-03-22 23:08:52,974][model][INFO] - Loading tokenizer and model: Qwen/Qwen2.5-0.5B
[2026-03-22 23:08:56,403][model][INFO] - Apply LoRA with params: {'r': 16, 'lora_alpha': 32, 'lora_dropout': 0.05, 'target_modules': ['q_proj', 'k_proj', 'v_proj', 'o_proj', 'gate_proj', 'up_proj', 'down_proj'], 'bias': 'none', 'task_type': 'CAUSAL_LM'}
[2026-03-22 23:08:56,685][__main__][INFO] - Model+LoRA loaded. Initial memory: 988.00 MiB
[2026-03-22 23:08:56,685][dataset][INFO] - Loading train dataset: Elriggs/openwebtext-100k
[2026-03-22 23:08:59,208][dataset][INFO] - Loaded 1000 / 100000 samples
[2026-03-22 23:08:59,208][__main__][INFO] - Tokenizing dataset...
[2026-03-22 23:09:12,427][__main__][INFO] - Tokenized: 1000 samples
[2026-03-22 23:09:12,427][optimizers.optimizer][INFO] - Creating AdamW with {'lr': 5e-05, 'weight_decay': 0.01, 'eps': 1e-08, 'betas': [0.9, 0.999]}
[2026-03-22 23:09:12,474][__main__][INFO] - Memory stats reset. Starting training...
[2026-03-22 23:09:12,474][optimizers.optimizer][INFO] - Creating SFTTrainer (TRL) with optimizer: adamw
[2026-03-22 23:09:12,521][__main__][INFO] - Starting training...
[2026-03-22 23:10:33,355][utilities.loggers][INFO] - Step 55: loss=2.9305, lr=4.9e-05, mem=3912.0MB, t=100.38s
[2026-03-22 23:10:34,793][utilities.loggers][INFO] - Step 56: loss=2.7906, lr=4.9e-05, mem=3912.0MB, t=101.82s
[2026-03-22 23:10:36,220][utilities.loggers][INFO] - Step 57: loss=2.8959, lr=4.9e-05, mem=3912.0MB, t=103.25s
[2026-03-22 23:10:37,657][utilities.loggers][INFO] - Step 58: loss=2.9642, lr=4.9e-05, mem=3912.0MB, t=104.68s
[2026-03-22 23:10:39,235][utilities.loggers][INFO] - Step 59: loss=2.7674, lr=4.9e-05, mem=3912.0MB, t=106.26s
[2026-03-22 23:10:40,738][utilities.loggers][INFO] - Step 60: loss=2.9962, lr=4.9e-05, mem=3912.0MB, t=107.76s
[2026-03-22 23:10:42,206][utilities.loggers][INFO] - Step 61: loss=2.9607, lr=4.9e-05, mem=3912.0MB, t=109.23s
[2026-03-22 23:10:43,644][utilities.loggers][INFO] - Step 62: loss=3.0226, lr=4.9e-05, mem=3912.0MB, t=110.67s
[2026-03-22 23:10:44,341][utilities.loggers][INFO] - Step 63: loss=2.9877, lr=4.9e-05, mem=3912.0MB, t=111.37s
[2026-03-22 23:10:46,677][utilities.loggers][INFO] - Step 64: loss=2.9364, lr=4.9e-05, mem=3912.0MB, t=113.7s
[2026-03-22 23:10:48,130][utilities.loggers][INFO] - Step 65: loss=3.0809, lr=4.8e-05, mem=3912.0MB, t=115.16s
[2026-03-22 23:10:49,599][utilities.loggers][INFO] - Step 66: loss=2.982, lr=4.8e-05, mem=3912.0MB, t=116.62s
[2026-03-22 23:10:51,146][utilities.loggers][INFO] - Step 67: loss=2.7685, lr=4.8e-05, mem=3912.0MB, t=118.17s
[2026-03-22 23:10:52,568][utilities.loggers][INFO] - Step 68: loss=3.1144, lr=4.8e-05, mem=3912.0MB, t=119.59s
[2026-03-22 23:10:54,037][utilities.loggers][INFO] - Step 69: loss=2.854, lr=4.8e-05, mem=3912.0MB, t=121.06s
[2026-03-22 23:10:55,474][utilities.loggers][INFO] - Step 70: loss=2.9233, lr=4.8e-05, mem=3912.0MB, t=122.5s
[2026-03-22 23:10:56,974][utilities.loggers][INFO] - Step 71: loss=2.9526, lr=4.8e-05, mem=3912.0MB, t=124.0s
[2026-03-22 23:10:58,427][utilities.loggers][INFO] - Step 72: loss=2.8211, lr=4.8e-05, mem=3912.0MB, t=125.45s
[2026-03-22 23:10:59,880][utilities.loggers][INFO] - Step 73: loss=2.845, lr=4.8e-05, mem=3912.0MB, t=126.91s
[2026-03-22 23:11:01,412][utilities.loggers][INFO] - Step 74: loss=2.8322, lr=4.7e-05, mem=3912.0MB, t=128.44s
[2026-03-22 23:11:02,849][utilities.loggers][INFO] - Step 75: loss=2.8627, lr=4.7e-05, mem=3912.0MB, t=129.88s
[2026-03-22 23:11:04,350][utilities.loggers][INFO] - Step 76: loss=2.9088, lr=4.7e-05, mem=3912.0MB, t=131.38s
[2026-03-22 23:11:05,771][utilities.loggers][INFO] - Step 77: loss=2.8572, lr=4.7e-05, mem=3912.0MB, t=132.8s
[2026-03-22 23:11:07,225][utilities.loggers][INFO] - Step 78: loss=2.9315, lr=4.7e-05, mem=3912.0MB, t=134.25s
[2026-03-22 23:11:08,647][utilities.loggers][INFO] - Step 79: loss=3.0731, lr=4.7e-05, mem=3912.0MB, t=135.67s
[2026-03-22 23:11:10,084][utilities.loggers][INFO] - Step 80: loss=2.7334, lr=4.7e-05, mem=3912.0MB, t=137.11s
[2026-03-22 23:11:11,522][utilities.loggers][INFO] - Step 81: loss=3.0254, lr=4.7e-05, mem=3912.0MB, t=138.55s
[2026-03-22 23:11:13,038][utilities.loggers][INFO] - Step 82: loss=2.9115, lr=4.6e-05, mem=3912.0MB, t=140.06s
[2026-03-22 23:11:14,475][utilities.loggers][INFO] - Step 83: loss=2.9259, lr=4.6e-05, mem=3912.0MB, t=141.5s
[2026-03-22 23:11:15,944][utilities.loggers][INFO] - Step 84: loss=3.0027, lr=4.6e-05, mem=3912.0MB, t=142.97s
[2026-03-22 23:11:17,397][utilities.loggers][INFO] - Step 85: loss=3.0535, lr=4.6e-05, mem=3912.0MB, t=144.42s
[2026-03-22 23:11:18,866][utilities.loggers][INFO] - Step 86: loss=2.8108, lr=4.6e-05, mem=3912.0MB, t=145.89s
[2026-03-22 23:11:20,288][utilities.loggers][INFO] - Step 87: loss=2.9893, lr=4.6e-05, mem=3912.0MB, t=147.31s
[2026-03-22 23:11:21,804][utilities.loggers][INFO] - Step 88: loss=2.8673, lr=4.5e-05, mem=3912.0MB, t=148.83s
[2026-03-22 23:11:23,288][utilities.loggers][INFO] - Step 89: loss=2.9487, lr=4.5e-05, mem=3912.0MB, t=150.31s
[2026-03-22 23:11:24,804][utilities.loggers][INFO] - Step 90: loss=2.8699, lr=4.5e-05, mem=3912.0MB, t=151.83s
[2026-03-22 23:11:26,288][utilities.loggers][INFO] - Step 91: loss=2.9028, lr=4.5e-05, mem=3912.0MB, t=153.31s
[2026-03-22 23:11:27,757][utilities.loggers][INFO] - Step 92: loss=2.925, lr=4.5e-05, mem=3912.0MB, t=154.78s
[2026-03-22 23:11:29,212][utilities.loggers][INFO] - Step 93: loss=2.8743, lr=4.5e-05, mem=3912.0MB, t=156.24s
[2026-03-22 23:11:30,603][utilities.loggers][INFO] - Step 94: loss=3.021, lr=4.4e-05, mem=3912.0MB, t=157.63s
[2026-03-22 23:11:32,009][utilities.loggers][INFO] - Step 95: loss=2.8951, lr=4.4e-05, mem=3912.0MB, t=159.04s
[2026-03-22 23:11:33,422][utilities.loggers][INFO] - Step 96: loss=2.905, lr=4.4e-05, mem=3912.0MB, t=160.45s
[2026-03-22 23:11:34,946][utilities.loggers][INFO] - Step 97: loss=2.9145, lr=4.4e-05, mem=3912.0MB, t=161.97s
[2026-03-22 23:11:36,399][utilities.loggers][INFO] - Step 98: loss=2.7613, lr=4.4e-05, mem=3912.0MB, t=163.42s
[2026-03-22 23:11:37,909][utilities.loggers][INFO] - Step 99: loss=2.9639, lr=4.4e-05, mem=3912.0MB, t=164.93s
[2026-03-22 23:11:39,299][utilities.loggers][INFO] - Step 100: loss=2.7758, lr=4.3e-05, mem=3912.0MB, t=166.33s
[2026-03-22 23:11:40,752][utilities.loggers][INFO] - Step 101: loss=2.919, lr=4.3e-05, mem=3912.0MB, t=167.78s
[2026-03-22 23:11:42,175][utilities.loggers][INFO] - Step 102: loss=2.8184, lr=4.3e-05, mem=3912.0MB, t=169.2s
[2026-03-22 23:11:43,643][utilities.loggers][INFO] - Step 103: loss=3.0991, lr=4.3e-05, mem=3912.0MB, t=170.67s
[2026-03-22 23:11:45,067][utilities.loggers][INFO] - Step 104: loss=3.0227, lr=4.3e-05, mem=3912.0MB, t=172.09s
[2026-03-22 23:11:46,645][utilities.loggers][INFO] - Step 105: loss=2.8075, lr=4.2e-05, mem=3912.0MB, t=173.67s
[2026-03-22 23:11:48,177][utilities.loggers][INFO] - Step 106: loss=2.7884, lr=4.2e-05, mem=3912.0MB, t=175.2s
[2026-03-22 23:11:49,630][utilities.loggers][INFO] - Step 107: loss=2.9236, lr=4.2e-05, mem=3912.0MB, t=176.66s
[2026-03-22 23:11:51,068][utilities.loggers][INFO] - Step 108: loss=3.0161, lr=4.2e-05, mem=3912.0MB, t=178.09s
[2026-03-22 23:11:52,587][utilities.loggers][INFO] - Step 109: loss=2.9147, lr=4.2e-05, mem=3912.0MB, t=179.61s
[2026-03-22 23:11:54,009][utilities.loggers][INFO] - Step 110: loss=2.8872, lr=4.1e-05, mem=3912.0MB, t=181.03s
[2026-03-22 23:11:55,447][utilities.loggers][INFO] - Step 111: loss=2.9127, lr=4.1e-05, mem=3912.0MB, t=182.47s
[2026-03-22 23:11:57,012][utilities.loggers][INFO] - Step 112: loss=3.0218, lr=4.1e-05, mem=3912.0MB, t=184.04s
[2026-03-22 23:11:58,459][utilities.loggers][INFO] - Step 113: loss=2.9913, lr=4.1e-05, mem=3912.0MB, t=185.48s
[2026-03-22 23:11:59,943][utilities.loggers][INFO] - Step 114: loss=2.8642, lr=4.1e-05, mem=3912.0MB, t=186.97s
[2026-03-22 23:12:01,428][utilities.loggers][INFO] - Step 115: loss=2.765, lr=4e-05, mem=3912.0MB, t=188.45s
[2026-03-22 23:12:02,881][utilities.loggers][INFO] - Step 116: loss=2.7854, lr=4e-05, mem=3912.0MB, t=189.91s
[2026-03-22 23:12:04,334][utilities.loggers][INFO] - Step 117: loss=2.8063, lr=4e-05, mem=3912.0MB, t=191.36s
[2026-03-22 23:12:05,756][utilities.loggers][INFO] - Step 118: loss=2.9377, lr=4e-05, mem=3912.0MB, t=192.78s
